rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
1,NVDA,NVIDIA Corporation,6.56T,44.69,-0.09%,296.55B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,NVDA.TO,Technology,Semiconductors,NVIDIA Corporation,EQUITY,success
2,GOOG,Alphabet Inc.,6.29T,61.72,1.36%,589.75B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,GOOG.TO,Communication Services,Internet Content & Information,Alphabet Inc.,EQUITY,success
3,AAPL,Apple Inc.,5.53T,39.93,1.71%,626.25B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AAPL.TO,Technology,Consumer Electronics,Apple Inc.,EQUITY,success
4,MSFT,Microsoft Corporation,4.18T,28.91,-0.86%,444.26B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MSFT.TO,Technology,Software - Infrastructure,Microsoft Corporation,EQUITY,success
5,AMZN,"Amazon.com, Inc.",3.98T,31.75,1.44%,1.04T,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AMZN.TO,Consumer Cyclical,Internet Retail,"Amazon.com, Inc.",EQUITY,success
6,AVGO,Broadcom Inc.,2.68T,16.16,2.08%,92.62B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,AVGO.TO,,,Broadcom Inc.,ETF,success
7,META,"Meta Platforms, Inc.",2.11T,32.72,0.40%,300.06B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,META.TO,Communication Services,Internet Content & Information,"Meta Platforms, Inc.",EQUITY,success
8,TSLA,"Tesla, Inc.",2.01T,34.35,0.32%,136.63B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,TSLA.TO,Consumer Cyclical,Auto Manufacturers,"Tesla, Inc.",EQUITY,success
9,WMT,Walmart Inc.,1.41T,54.74,-1.00%,967.34B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,WMT.TO,,,Walmart Inc.,ETF,success
10,BRK,Berkshire Hathaway Inc.,1.37T,34.04,-0.41%,524.00B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,BRK.TO,Financial Services,Insurance - Diversified,Berkshire Hathaway Inc.,EQUITY,success
11,LLY,Eli Lilly and Company,1.17T,35.28,1.18%,100.85B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,LLY.TO,,,Eli Lilly and Company,ETF,success
12,JPM,JPMorgan Chase & Co.,1.12T,39.52,-,242.26B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,JPM.TO,,,JPMorgan Chase & Co.,ETF,success
13,MU,"Micron Technology, Inc.",884.42B,28.24,10.66%,79.51B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,MU.TO,,,"Micron Technology, Inc.",ETF,success
14,XOM,Exxon Mobil Corporation,866.67B,27.74,-0.39%,455.06B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,XOM.TO,,,Exxon Mobil Corporation,ETF,success
15,VISA,Visa Inc.,837.81B,29.5,-1.67%,60.06B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/,VISA.TO,,,Visa Inc.,ETF,success
